rating,team,position,salary,country,draft_round,age,experience,bmi
80,Boston Celtics,F,32700690.0,USA,1,30,10,23.239523774164013
80,Los Angeles Clippers,G,17799677.0,USA,1,30,9,25.86277788437817
80,Boston Celtics,C,4767000.0,Not-USA,1,28,9,27.468565088757394
80,Chicago Bulls,F,27250576.0,USA,1,27,7,21.79378291149992
80,New Orleans Pelicans,G,13486300.0,USA,1,36,14,23.623255941448974
80,Philadelphia 76ers,G,10116576.0,USA,2,27,5,23.61516034985423
80,Indiana Pacers,F,11060000.0,USA,1,27,6,24.21558397437454
79,Memphis Grizzlies,G,8730240.0,USA,1,21,1,21.635920067980596
79,Miami Heat,F-C,3454080.0,USA,1,23,3,25.9732302761806
79,Brooklyn Nets,C,2376840.0,USA,1,22,3,23.840434850969206
79,New Orleans Pelicans,G,8719320.0,USA,1,23,3,21.98245077032956
79,Sacramento Kings,F,24147727.0,USA,1,28,8,23.113882889660033
79,Los Angeles Clippers,G,12345680.0,USA,2,32,11,23.85682980277575
79,Boston Celtics,F,6534829.0,USA,1,24,4,25.80093867972656
79,Dallas Mavericks,C,2177483.0,USA,1,27,5,24.19493486742049
79,Miami Heat,G,19217900.0,Not-USA,2,34,12,23.623255941448974
79,Oklahoma City Thunder,G,3952920.0,Not-USA,1,22,2,21.254164931278638
79,Denver Nuggets,G,17839286.0,USA,1,26,6,24.964428575263764
79,Utah Jazz,F,11454546.0,Not-USA,0,33,11,23.464765723620708
79,Indiana Pacers,G,10500000.0,USA,1,28,8,21.254164931278638
79,Milwaukee Bucks,C,12093024.0,USA,1,32,12,26.493861447243717
79,Los Angeles Lakers,C,4000000.0,USA,1,32,12,26.99420309021579
79,New York Knicks,C,1559712.0,USA,2,22,2,22.294959113050766
79,Orlando Magic,G,12500000.0,USA,1,29,8,23.83430262218141
79,Cleveland Cavaliers,F,18539130.0,Not-USA,1,29,9,24.050334621547744
79,Houston Rockets,F,8349039.0,USA,2,35,14,26.56705539358601
79,Toronto Raptors,G,9346153.0,USA,0,26,14,26.109569028487943
79,Golden State Warriors,F,27504630.0,Not-USA,1,25,6,22.11826439939606
79,Chicago Bulls,F,12900000.0,USA,1,32,13,24.21558397437454
78,New York Knicks,G,7839960.0,Not-USA,1,20,1,23.372615039281705
78,Phoenix Suns,G,16200000.0,Not-USA,1,30,11,22.381513664647354
78,Denver Nuggets,G,12776786.0,USA,2,29,8,20.66326530612245
78,Sacramento Kings,G,8529386.0,Not-USA,1,28,6,23.719518416488114
78,Washington Wizards,F-C,8000000.0,USA,2,23,3,25.268121301775142
78,Chicago Bulls,C,5201400.0,USA,1,21,2,27.684041851258367
78,Utah Jazz,G,13437500.0,Not-USA,2,28,6,22.65027249053666
78,Orlando Magic,G,17150000.0,Not-USA,1,28,8,21.331155169426506
78,Houston Rockets,G,14057730.0,USA,1,32,12,26.731723362846413
78,Los Angeles Clippers,F,4767000.0,USA,0,30,8,24.21558397437454
78,Brooklyn Nets,G,7666667.0,USA,2,29,6,24.875012753800632
78,Miami Heat,G-F,17185185.0,USA,1,36,16,23.94908682787471
78,Brooklyn Nets,G,2625717.0,USA,1,26,4,22.099785736149375
78,Los Angeles Clippers,F,15000000.0,USA,1,31,9,25.865708947074676
78,San Antonio Spurs,G,2321735.0,USA,1,24,4,20.701226878573923
78,Cleveland Cavaliers,F,12727273.0,USA,1,27,5,25.486992896215448
78,Miami Heat,C,12667885.0,Not-USA,1,29,7,23.840434850969206
78,Phoenix Suns,F-G,15625000.0,USA,1,25,5,22.791515061508385
78,Sacramento Kings,F,6500000.0,USA,1,25,6,25.865708947074676
78,New York Knicks,F-C,15000000.0,USA,1,25,5,25.790495562130175
78,Charlotte Hornets,G,19894737.0,USA,1,26,5,25.18042366691015
78,Oklahoma City Thunder,G,15500000.0,Not-USA,1,27,7,22.796201607012414
78,Atlanta Hawks,G,19000000.0,USA,1,32,11,22.504865546448837
78,San Antonio Spurs,G,1948080.0,USA,1,26,3,24.355016242046766
78,Memphis Grizzlies,F,13000000.0,USA,1,24,5,25.686154474033263
77,Cleveland Cavaliers,G,6400920.0,USA,1,20,1,23.193571950328703
77,Atlanta Hawks,F,7068360.0,USA,1,23,1,25.261750946758752
77,Orlando Magic,F,9258000.0,Not-USA,1,30,10,23.664733432017282
77,Orlando Magic,C,5697600.0,USA,1,22,2,22.49553659988098
77,Charlotte Hornets,F-G,25565217.0,Not-USA,1,32,12,22.445565086247527
77,Minnesota Timberwolves,G,2731713.0,USA,1,24,4,24.11071438159414
77,Sacramento Kings,F-G,6825000.0,Not-USA,2,32,10,23.483727810650883
77,Houston Rockets,F,7339258.0,USA,1,34,11,24.528109376594227
77,Utah Jazz,F,4767000.0,USA,1,31,10,22.980488264680933
77,New York Knicks,F,9000000.0,USA,1,35,11,24.050334621547744
77,Denver Nuggets,F,9346153.0,USA,2,26,6,23.555533985294478
77,Los Angeles Lakers,G,14634147.0,USA,2,33,11,24.181205999387817
77,Dallas Mavericks,G,20025127.0,USA,1,28,7,23.495418575593504
77,Sacramento Kings,C,4160000.0,Not-USA,1,27,7,22.49553659988098
77,Golden State Warriors,F,4464286.0,USA,1,24,5,23.72985201244227
77,Denver Nuggets,G,1588231.0,USA,2,25,3,22.45925758261657
77,Oklahoma City Thunder,F-C,1882867.0,USA,1,26,7,21.59763313609467
77,Denver Nuggets,C-F,14041096.0,USA,1,30,7,24.24698456907976
77,San Antonio Spurs,C-F,3754885.0,Not-USA,1,25,4,23.23602537722908
77,Dallas Mavericks,F-C,10259375.0,Not-USA,2,29,6,24.533099112426033
77,Brooklyn Nets,F,3481985.0,USA,1,26,4,24.699883666245892
77,Phoenix Suns,F,3481985.0,Not-USA,1,26,6,22.64700443786982
77,Cleveland Cavaliers,G,4764960.0,USA,1,21,2,25.18042366691015
77,New York Knicks,G,4463640.0,USA,1,23,3,25.025464010864646
77,Charlotte Hornets,C-F,14471910.0,USA,1,28,7,22.995878242853053
77,Los Angeles Clippers,C,6481482.0,Not-USA,2,23,4,26.493861447243717
77,Minnesota Timberwolves,G,5813640.0,USA,1,21,1,22.561473319049078
76,Charlotte Hornets,C-F,1676735.0,Not-USA,2,26,5,25.98099773140765
76,Portland Trail Blazers,F-G,12200000.0,USA,2,35,16,23.113882889660033
