rating,team,position,salary,country,draft_round,age,experience,bmi
71,Milwaukee Bucks,G,79568.0,USA,2,26,3,26.598765432098766
71,Houston Rockets,G,2028594.0,USA,1,27,7,23.499904059647488
71,Brooklyn Nets,F,1911600.0,Not-USA,1,21,2,20.843152040720145
71,Phoenix Suns,G,1416852.0,Not-USA,2,23,2,23.623255941448974
71,Washington Wizards,G,3567720.0,USA,1,23,2,23.13619157561277
71,Indiana Pacers,F,1737145.0,USA,0,27,6,25.036508997302054
71,Indiana Pacers,G,2000000.0,USA,2,25,3,22.65027249053666
71,Portland Trail Blazers,G,1416852.0,USA,2,21,2,24.677217825905874
71,Washington Wizards,F,2063520.0,Not-USA,1,23,2,24.45138249365468
71,Washington Wizards,F,1000000.0,USA,2,23,1,28.45689296126614
71,Atlanta Hawks,F,1400000.0,Not-USA,2,22,1,26.18767084550853
71,Golden State Warriors,F,898310.0,Not-USA,2,20,1,22.540680473372777
71,Golden State Warriors,F,898310.0,USA,2,24,1,29.504642383430262
71,Boston Celtics,G,1228026.0,USA,2,22,1,27.999999999999996
71,Miami Heat,F,898310.0,USA,2,21,1,23.664733432017282
71,Philadelphia 76ers,C,1445697.0,USA,2,24,2,24.20605997501041
71,San Antonio Spurs,F,1416852.0,Not-USA,2,23,2,24.050334621547744
70,Denver Nuggets,F,1416852.0,USA,2,24,2,25.865708947074676
70,Oklahoma City Thunder,F,2284800.0,USA,1,20,1,22.014608459317145
70,Utah Jazz,F-C,1962360.0,USA,1,22,3,26.000832100591712
70,Oklahoma City Thunder,G,1416852.0,USA,2,22,2,23.378279883381925
70,Orlando Magic,F,1416852.0,USA,2,24,2,23.732299042065808
70,Miami Heat,F,13290395.0,USA,1,29,7,26.14784205693297
70,Indiana Pacers,F,1416852.0,USA,2,24,2,22.56627311205169
70,Atlanta Hawks,C-F,2338846.0,Not-USA,1,24,4,22.64700443786982
70,No Team,F-C,50000.0,USA,1,24,3,23.51541144311434
70,Detroit Pistons,G,1416852.0,Not-USA,2,23,2,23.01675701096508
70,Los Angeles Clippers,F,79568.0,USA,0,25,3,25.31728505908904
70,Oklahoma City Thunder,F,1618520.0,Not-USA,2,27,4,26.56705539358601
70,No Team,F-C,12500000.0,USA,1,32,8,25.98099773140765
70,Portland Trail Blazers,C,2033160.0,USA,1,23,3,26.614195494391556
70,Minnesota Timberwolves,F,1416852.0,USA,2,21,2,22.874446224903384
70,No Team,F,195077.0,USA,0,25,2,23.732299042065808
70,Golden State Warriors,G,1964760.0,USA,1,21,1,23.624795296518027
70,Los Angeles Lakers,G,898310.0,USA,2,20,1,28.49472469059572
70,No Team,F-C,100000.0,USA,0,24,2,26.416559489431926
70,Milwaukee Bucks,F,1445697.0,Not-USA,2,28,6,24.875012753800632
70,Minnesota Timberwolves,C,898310.0,USA,0,21,1,26.614195494391556
70,New York Knicks,F,898310.0,Not-USA,2,21,1,24.992347719620447
70,Oklahoma City Thunder,G,1416852.0,USA,0,29,6,29.22494563612446
70,Sacramento Kings,G,898310.0,USA,2,23,1,21.331155169426506
69,No Team,F-C,79568.0,USA,1,23,4,25.372133875739642
69,Charlotte Hornets,G,1416852.0,USA,2,25,2,24.51716581446311
69,No Team,F-C,1529007.0,USA,0,27,3,23.94193609199736
69,Detroit Pistons,G,1416852.0,USA,2,24,2,26.10948164798114
69,New York Knicks,G,1445697.0,USA,0,25,2,25.976155768429823
69,Orlando Magic,F,1427191.0,USA,0,26,2,26.033057851239672
69,Los Angeles Clippers,G,1000000.0,USA,2,24,1,25.385256143273637
69,Milwaukee Bucks,G,79568.0,USA,0,25,2,25.261750946758752
69,No Team,G-F,502491.0,USA,2,26,4,23.61516034985423
69,Utah Jazz,F,898310.0,USA,2,23,1,24.794356518117453
69,Toronto Raptors,F,1588231.0,USA,0,27,5,23.01675701096508
68,Washington Wizards,G,1416852.0,Not-USA,2,21,2,22.014608459317145
68,No Team,F-C,1416852.0,Not-USA,2,22,3,24.995040666534422
68,Detroit Pistons,G,1254933.0,USA,2,29,6,21.13442315701791
68,Atlanta Hawks,G,522738.0,USA,0,25,2,24.3811400758458
68,Houston Rockets,G,79568.0,USA,2,26,5,24.867739371179518
68,Los Angeles Lakers,F,79568.0,Not-USA,0,23,2,20.968934911242602
68,Phoenix Suns,G,898310.0,USA,0,20,1,23.623255941448974
67,Miami Heat,F,1416852.0,USA,0,26,2,24.13801638573303
97,Los Angeles Lakers,F,41180544.0,USA,1,37,18,26.722594023941937
97,Milwaukee Bucks,F-G,39344900.0,Not-USA,1,27,8,24.6557804182296
96,Los Angeles Clippers,F,39344900.0,USA,1,30,10,25.261750946758752
96,Brooklyn Nets,G,44310840.0,USA,1,32,12,25.976155768429823
95,Golden State Warriors,G,45780966.0,USA,1,33,12,23.001014226583703
95,Brooklyn Nets,F,40918900.0,USA,1,33,14,24.1147374260355
95,Los Angeles Lakers,F-C,35361360.0,USA,1,28,9,23.27570266272189
94,Dallas Mavericks,G-F,10174391.0,Not-USA,1,22,3,25.486992896215448
94,Portland Trail Blazers,G,39344900.0,USA,1,31,9,25.025464010864646
91,Philadelphia 76ers,C,31579390.0,Not-USA,1,27,7,24.995040666534422
